Do You Go Up|Khai|Chillwave
All Lost|Jack Grace|AltIndie
Our Love's Funeral|Racoon Racoon|AltIndie
Acid Glitch|A*S*Y*S|Techno
Do You Love Me|TroyBoi|TrapRap
INDEPENDENT (feat. LAMBO)|TWRK|Trap
Hold On (feat. Brave)|Arman Cekin|Trap
Bounce Back|Big Sean|TrapRap
Bad and Boujee (feat. Lil Uzi Vert)|Migos|TrapRap
All Lost|Jack Grace|AltIndie
Our Love's Funeral|Racoon Racoon|AltIndie
Goddess|Durante|House
Like I Would (Tom Budin Remix)|ZAYN|House
Chunky|Format:B|House
Fade|MALLAA|House
Electric Love (Oliver Remix)|BORNS|Electro
