Acid Glitch|A*S*Y*S|Techno
All Lost|Jack Grace|AltIndie
All Yours|Tennyson|Chillwave
Alright (Jesse Slayter Remix)|Tommie Sunshine|Trap
Alternate Reality|Brennan Heart|Hardstyle
Bad and Boujee (feat. Lil Uzi Vert)|Migos|TrapRap
Bae|Mura Masa|Chillhop
Bounce Back|Big Sean|TrapRap
Breathless|Small Black|AltIndie
California|The Lagoons|AltIndie
Canals|Joakim Karud|Chillwave
Catfight|Technoboy|Hardstyle
Chunky|Format:B|House
Daydream|Youth Lagoon|Chillwave
Do You Go Up|Khai|Chillwave
Do You Love Me|TroyBoi|TrapRap
Electric Love (Oliver Remix)|BORNS|Electro
Fade|MALLAA|House
Gemini (feat. George Maple)|What So Not|ChillTrap
Goddess|Durante|House
Hold On (feat. Brave)|Arman Cekin|Trap
Hollywood (feat. Penguin Prison)|RAC|AltIndie
INDEPENDENT (feat. LAMBO)|TWRK|Trap
Life Under Water (feat. Nevve)|Jerry Folk|AltIndie
Like I Would (Tom Budin Remix)|ZAYN|House
Mist|Cin|Chillwave
Monday|Photay|Chillhop
Moon Children|Palmbomen|Chillwave
Nomind|FloFilz|Chillwave
One Time (Aquilo Remix)|Marian Hill|Chillhop
Our Love's Funeral|Racoon Racoon|AltIndie
Reverse Skydiving (feat. Anabel Englund)|Hot Natured|House
Right Now|Guy|ChillTrap
The World|David Cutter Music|Chillhop
Urban Love|Joakim Karud|Chillhop
